,MSFT,AAPL,AMZN,GOOG,FB,TSLA,GOOGL,NVDA,CMCSA,ADBE,INTC,CSCO,NFLX,PEP,AVGO,TMUS,TXN,COST,AMGN,CHTR,SBUX,AMAT,INTU,ISRG,AMD,BKNG,MU,LRCX,MDLZ,ADP,GILD,FISV,CSX,ATVI,MELI,ADSK,ADI,ILMN,NXPI,BIDU
MSFT,0.06903233872027209,0.0441929292434918,0.04506734447589839,0.0446217250333214,0.04359744476228307,0.05139512926499533,0.04447376450860049,0.0596479185463393,0.028848938249183352,0.05194894986543936,0.04640609198950611,0.03780106684128807,0.04505444116685997,0.024072650099574548,0.04671816992398426,0.03139164006805538,0.04292516640476665,0.024367342358723433,0.029927257029675615,0.027249945636301457,0.03363617274554837,0.05318406729658666,0.04612477977715881,0.04054291551813237,0.05288461471797549,0.03518376091299193,0.053854974372386184,0.054805909391711566,0.027189409340122924,0.03584596245966048,0.02372491508478019,0.03658813695799594,0.03425822342844923,0.04078996568836571,0.05001032871175144,0.051274137558844995,0.0431549357959926,0.04145271851996015,0.04374772858497976,0.03694474958791398
AAPL,0.0441929292434918,0.08151300695966973,0.040109291577915346,0.038665802663205955,0.045204246779329,0.052409222055563386,0.038660926708801106,0.058388615250419926,0.02615885493542594,0.04412924258638644,0.04162052557987931,0.03511491356730197,0.03597104689897048,0.021551386116385816,0.05264470774565475,0.02679478366078767,0.0425379223269597,0.022717696535438293,0.028316610882177167,0.026784017488502888,0.030124488062552506,0.0531197862159021,0.04085832735676639,0.03787264813131661,0.0563802291854655,0.03279160768410596,0.05304083058343743,0.05536203666908503,0.02306490018255731,0.029934841996831267,0.020663809928762263,0.031080008953023038,0.034404568915597795,0.037723649885935504,0.04859680641583444,0.0455211454843701,0.04371493479107837,0.03989018088899548,0.04801137453188686,0.03874961892948016
AMZN,0.04506734447589839,0.040109291577915346,0.09200992917540142,0.04721366589238791,0.05460753489809022,0.05770780662285695,0.04708069663739693,0.055551248370786344,0.023142832261627787,0.050190991625396024,0.03472301698621086,0.030506716032372285,0.06297212253172337,0.01705702272594821,0.04186760960895891,0.03001060743616025,0.03659118295609638,0.02258661029724903,0.02805687968435738,0.02709364727771707,0.03065737436317183,0.04409909884073317,0.0383581724519899,0.03418821073346334,0.056384637464594316,0.037237507042942715,0.04777162385608232,0.046102139535848734,0.020690509095579117,0.0260042319471216,0.023749721483642672,0.02658658633350231,0.02686289275695115,0.043445463772707735,0.0552676991594188,0.04710092525748022,0.03536360895960833,0.04361478318536791,0.04095157641064201,0.04160901576652302
GOOG,0.0446217250333214,0.038665802663205955,0.04721366589238791,0.06626374780753604,0.05044373232482542,0.04774865312675705,0.06570127892297686,0.05215216233661234,0.02593556664465787,0.045322733747087667,0.03647800400692691,0.03114090196046279,0.048943495619423086,0.019621951774587483,0.04153451258051715,0.02949465601331298,0.037134816642505696,0.020637775458199593,0.02826243838965792,0.02564699136205758,0.03226721580369785,0.04678218220622716,0.03916504762433909,0.03626233637531734,0.04224475283558655,0.03955144630578573,0.05016779195430538,0.04821635144045874,0.023493575971515794,0.03029282297086126,0.023811788758426534,0.0331285265071764,0.03056577980084531,0.03734150075586043,0.04645149803802394,0.04521956148599636,0.03769996139813021,0.041007584581548864,0.0402558880332907,0.04166356599564655
FB,0.04359744476228307,0.045204246779329,0.05460753489809022,0.05044373232482542,0.11722143255296426,0.05882941333226314,0.05067592140145482,0.05874906002089545,0.025324151119376637,0.05121835332779464,0.038395877447725914,0.030332443021153732,0.056652471013718245,0.020074159082702527,0.04945104148194007,0.03339434865281188,0.0393784898438946,0.019530563289668772,0.031528362942219314,0.03025688026732859,0.03398469450238773,0.049112462991920146,0.04231991812358781,0.03741425229701572,0.05288019680673734,0.04233696049817217,0.054696104571001214,0.05241391636415707,0.022193309360209648,0.030534053028272154,0.02616676381118405,0.034242999740429214,0.03022266433106628,0.04059766801529712,0.05534960320801017,0.04996084915574064,0.040600881254333164,0.045675539078063036,0.04804012908060707,0.049283692106599386
TSLA,0.05139512926499533,0.052409222055563386,0.05770780662285695,0.04774865312675705,0.05882941333226314,0.3187387398939061,0.047983379940809624,0.07654580856727546,0.02853544628088102,0.06049454687012267,0.046301498485853465,0.03644726377523044,0.07411209356073126,0.019678598095210203,0.06933915184021461,0.04163426174612539,0.047770765517671815,0.022320604693513244,0.03254448180292289,0.03404452084615037,0.03906735170169835,0.07057030988438198,0.05105370503889624,0.053650947921331606,0.08473925587348465,0.048715746619890615,0.07402330937973847,0.07589001168097995,0.03032609453133531,0.035291124160357616,0.032798039040370756,0.03908390928807257,0.03860906288609705,0.04364924026918201,0.08068416882060632,0.061121395684911775,0.05532099594998395,0.0610223863819152,0.07031748482671386,0.06772167062187895
GOOGL,0.04447376450860049,0.038660926708801106,0.04708069663739693,0.06570127892297686,0.05067592140145482,0.047983379940809624,0.0659612521501734,0.05241186647504837,0.026060312972798916,0.0456603967557138,0.0367160242680152,0.03128953281920776,0.04865655572593232,0.020014767456811033,0.04174033060532045,0.029626385114741458,0.03741311719437282,0.020876952560899224,0.028247492970183353,0.02565278806861718,0.03206441944543357,0.047143904032813155,0.039471041878462974,0.03639596995324244,0.04208099532376784,0.039698147079953235,0.05022286091670531,0.04855071365952434,0.023593400350187976,0.03044536060467746,0.023986836403191197,0.03332174742878366,0.030692439560296974,0.037474978404659715,0.046645453844015375,0.045729360371651026,0.038061001592963516,0.04112038405871746,0.04072240952632483,0.04189222564815057
NVDA,0.0596479185463393,0.058388615250419926,0.055551248370786344,0.05215216233661234,0.05874906002089545,0.07654580856727546,0.05241186647504837,0.1705419665251724,0.0332642351529382,0.06635700806063873,0.06308210256027906,0.047583045031791144,0.06465447622807376,0.024124161619508765,0.0758002032735405,0.04219614710219772,0.06844500494804794,0.02813358947137266,0.03690668946659306,0.03545681084411097,0.037082851988634286,0.08835428367578131,0.05928948844964207,0.05441811028257204,0.11869069081848133,0.04559597220638016,0.09936748354850813,0.08750372940335249,0.028314646919743083,0.04030347364860676,0.02793703752847533,0.04283523463433794,0.044452376089119464,0.05564946678634502,0.0719696982485264,0.06866792411281923,0.07177529744041913,0.05832553109493702,0.07581819365149473,0.05688658915699802
CMCSA,0.028848938249183352,0.02615885493542594,0.023142832261627787,0.02593556664465787,0.025324151119376637,0.02853544628088102,0.026060312972798916,0.0332642351529382,0.05579595490668874,0.02939638026948494,0.030944607180769836,0.027628484161915334,0.024419034084965558,0.021243798587446974,0.03208651116750169,0.02637899266507054,0.030398284677587,0.019955261328985195,0.025126448208491702,0.03687131434985692,0.02702746951036409,0.03598782195036615,0.029856092269190147,0.024360320745293245,0.03297714261036269,0.030615976627222315,0.03847389747435437,0.036119004915746704,0.022746870563582464,0.028472387378170372,0.021152122302622464,0.028934733925850366,0.03094328198824183,0.023684919730377205,0.03205266461754769,0.03275570948962778,0.031234778756262533,0.02658088112816696,0.03458273103089867,0.023127337516681886
ADBE,0.05194894986543936,0.04412924258638644,0.050190991625396024,0.045322733747087667,0.05121835332779464,0.06049454687012267,0.0456603967557138,0.06635700806063873,0.02939638026948494,0.08727937282275179,0.043909057028424875,0.037477838478919896,0.05626130840250949,0.02357795665235815,0.049820508923499235,0.03777395209440514,0.04508580178760792,0.025274289313486915,0.033281562577992814,0.030359228311701666,0.03523610448514444,0.05761067801016656,0.05107701340288275,0.04397797242117195,0.0625930987894134,0.039711499755365615,0.059516715177279786,0.05730100921252519,0.0264518993753385,0.03622796265642627,0.027257148413022996,0.03821797897881768,0.03437214051150247,0.04866664950551925,0.059885340962133896,0.06500007470516746,0.048074149055385915,0.05020841212277444,0.050753239332444446,0.04462889403872578
